,TRMK,PLZL,SBER,ROSN,TATN,TTLK,UTAR,KMAZ,LSRG,MTSS,GMKN,DVEC,IRAO,GLTR,IRKT,MRKC,AFKS,LKOH,RTKM,MAGN,GAZP,NVTK,SNGS,TRNFP,AFLT,VTBR,CHMF,PIKK,NMTP,MGNT
TRMK,0.0005314946249121105,2.9119386989799442e-05,3.0189031933830463e-05,3.632077906260229e-05,3.288436327847779e-05,4.882519287889669e-05,3.522394009013908e-05,6.257200613654189e-05,4.0292566632856385e-05,3.554016438511344e-05,4.209238987635754e-05,8.360122302413032e-05,3.699912518343191e-05,6.369843179327251e-05,8.375346052690078e-05,4.493887590853674e-05,4.983467488357068e-05,4.1876588804212164e-05,3.896574541036963e-05,4.8655563564926294e-05,3.454704129023728e-05,4.1315340571631945e-05,5.677511234890404e-05,3.667879873042109e-05,5.639918215393372e-05,4.034493067016698e-05,6.405765427559303e-05,3.513349899020745e-05,7.504665366508044e-05,4.776013422879181e-05
PLZL,2.9119386989799442e-05,0.0002903318151852614,1.4704979023386236e-05,1.7691733057199927e-05,1.601786613321431e-05,2.3782592256374626e-05,1.7157466369965428e-05,3.0478620172577892e-05,1.9626377832625228e-05,1.731149819299557e-05,2.0503065866196408e-05,4.072188315259061e-05,1.8022153240903024e-05,3.102729843725141e-05,4.079603754381849e-05,2.188957993148018e-05,2.4274307649427094e-05,2.0397949867575537e-05,1.8980087541263244e-05,2.3699966370617396e-05,1.6827751171567273e-05,2.0124567683440107e-05,2.7654972109438533e-05,1.7866123270068443e-05,2.7471857737191926e-05,1.9651884184465853e-05,3.120227453714194e-05,1.711341280507267e-05,3.6554980310039934e-05,2.3263805660540876e-05
SBER,3.0189031933830463e-05,1.4704979023386236e-05,0.00013401617850549482,1.8341605007540414e-05,1.660625178602906e-05,2.465620026096256e-05,1.7787713056183263e-05,3.1598193945887756e-05,2.0347315255712605e-05,1.794740294340211e-05,2.125620674613988e-05,4.221772358497502e-05,1.8684162544238875e-05,3.2167026856396134e-05,4.2294601895826696e-05,2.2693651751703345e-05,2.516597787779278e-05,2.1147229512510833e-05,1.9677284727553266e-05,2.457053927144517e-05,1.7445886401075515e-05,2.0863805157118468e-05,2.8670824575856937e-05,1.852240111108062e-05,2.848098384764269e-05,2.0373758534566718e-05,3.2348430368396664e-05,1.7742041267906522e-05,3.7897757542317694e-05,2.4118357032533517e-05
ROSN,3.632077906260229e-05,1.7691733057199927e-05,1.8341605007540414e-05,0.000208220471708331,1.9979176659268804e-05,2.966416426219171e-05,2.140060659641775e-05,3.801615843798363e-05,2.448009407985294e-05,2.159273137620269e-05,2.557359211211991e-05,5.0792639333941444e-05,2.247913550942883e-05,3.870052799681534e-05,5.088513253310299e-05,2.730299908933421e-05,3.0277483703256714e-05,2.5442480321779303e-05,2.3673972478079992e-05,2.956110451912461e-05,2.0989350930946617e-05,2.5101489149365106e-05,3.449420595018726e-05,2.2284518428382026e-05,3.426580633930651e-05,2.4511908299370023e-05,3.891877669372595e-05,2.1345658331265387e-05,4.5595237425287634e-05,2.901707875402089e-05
TATN,3.288436327847779e-05,1.601786613321431e-05,1.660625178602906e-05,1.9979176659268804e-05,0.00018790679574362174,2.685755039199478e-05,1.9375832233207824e-05,3.441933782235488e-05,2.2163960344178815e-05,1.9549779522233643e-05,2.3153999309901135e-05,4.5986998264853806e-05,2.0352318352094968e-05,3.503895716340932e-05,4.6070740410273495e-05,2.4719782004072637e-05,2.7412841875995496e-05,2.3035292391852357e-05,2.143410827923165e-05,2.6764241434481406e-05,1.9003486676402026e-05,2.272656339765608e-05,3.123060762307659e-05,2.0176114565763477e-05,3.102381757146674e-05,2.219276452677131e-05,3.523655670888969e-05,1.932608278511151e-05,4.128133784457922e-05,2.627168754785668e-05
TTLK,4.882519287889669e-05,2.3782592256374626e-05,2.465620026096256e-05,2.966416426219171e-05,2.685755039199478e-05,0.0014769512288126201,2.8768346157843176e-05,5.110425261115692e-05,3.290803077440158e-05,2.9026615106690527e-05,3.4377995178141534e-05,6.827938376634157e-05,3.0218187916811758e-05,5.202423496210844e-05,6.840372025926934e-05,3.670279743756059e-05,4.0701329097351233e-05,3.420174459604241e-05,3.182437993578465e-05,3.973831693895591e-05,2.8215504569435668e-05,3.374335795916911e-05,4.6369772405471387e-05,2.9956568624360453e-05,4.606274003054638e-05,3.295079790231852e-05,5.231762169546738e-05,2.8694480461300685e-05,6.129263521059661e-05,3.900699554118258e-05
UTAR,3.522394009013908e-05,1.7157466369965428e-05,1.7787713056183263e-05,2.140060659641775e-05,1.9375832233207824e-05,2.8768346157843176e-05,0.0010685147114405746,3.68681212748422e-05,2.3740827964716234e-05,2.0940659754761778e-05,2.480130381824538e-05,4.9258769527908065e-05,2.180029566814882e-05,3.7531823787892756e-05,4.934846955610394e-05,2.6478485016695714e-05,2.936314417170063e-05,2.4674151428697006e-05,2.295905015765774e-05,2.8668398681241873e-05,2.035550059232671e-05,2.4343457733837603e-05,3.345252704387508e-05,2.1611555762776888e-05,3.323102479590821e-05,2.3771681437334555e-05,3.77434816659212e-05,2.070104798548338e-05,4.421832220877836e-05,2.8140801766966524e-05
KMAZ,6.257200613654189e-05,3.0478620172577892e-05,3.1598193945887756e-05,3.801615843798363e-05,3.441933782235488e-05,5.110425261115692e-05,3.68681212748422e-05,0.000543500981747675,4.217334089523612e-05,3.719910627048242e-05,4.405717619148274e-05,8.750355642472921e-05,3.8726168362627654e-05,6.66717437731811e-05,8.766290006148188e-05,4.703653034587236e-05,5.2160855162655995e-05,4.383130196847599e-05,4.078458638295001e-05,5.092670534917473e-05,3.615962622909458e-05,4.324385582102325e-05,5.942525799543286e-05,3.839088972863834e-05,5.903178015100167e-05,4.222814917826939e-05,6.70477340232483e-05,3.6773458570102845e-05,7.854967733634768e-05,4.998947921055489e-05
LSRG,4.0292566632856385e-05,1.9626377832625228e-05,2.0347315255712605e-05,2.448009407985294e-05,2.2163960344178815e-05,3.290803077440158e-05,2.3740827964716234e-05,4.217334089523612e-05,0.0006486064848068195,2.3953962173042676e-05,2.837014212836807e-05,5.634696880521281e-05,2.493729729204149e-05,4.293254834514234e-05,5.644957641679183e-05,3.0288665014251934e-05,3.35884185602402e-05,2.82246928653017e-05,2.626279331435417e-05,3.279370113522895e-05,2.3284600242409544e-05,2.7846413271903282e-05,3.8266252199597275e-05,2.4721398241736025e-05,3.801287639715456e-05,2.7192359964210244e-05,4.317466320032339e-05,2.3679870939780295e-05,5.0581215202812956e-05,3.219018449940319e-05
MTSS,3.554016438511344e-05,1.731149819299557e-05,1.794740294340211e-05,2.159273137620269e-05,1.9549779522233643e-05,2.9026615106690527e-05,2.0940659754761778e-05,3.719910627048242e-05,2.3953962173042676e-05,0.0002783537548433921,2.502395848987779e-05,4.9700992051152356e-05,2.1996008672152674e-05,3.786876719871098e-05,4.9791497364847324e-05,2.6716196647903537e-05,2.9626752942898995e-05,2.4895664584796616e-05,2.3165165925252368e-05,2.8925770347722693e-05,2.0538242892228038e-05,2.4562002074403183e-05,3.375284840918768e-05,2.180557434692433e-05,3.352935761615688e-05,2.3985092633913915e-05,3.808232524358856e-05,2.0886892450574107e-05,4.461529391976916e-05,2.839343691158691e-05
GMKN,4.209238987635754e-05,2.0503065866196408e-05,2.125620674613988e-05,2.557359211211991e-05,2.3153999309901135e-05,3.4377995178141534e-05,2.480130381824538e-05,4.405717619148274e-05,2.837014212836807e-05,2.502395848987779e-05,0.00020782802867122315,5.8863923981599066e-05,2.605121807314445e-05,4.485029657692943e-05,5.897111495878899e-05,3.164162532090109e-05,3.508877511453996e-05,2.948545787743242e-05,2.7435922499127835e-05,3.425855856368289e-05,2.4324696921129123e-05,2.9090280963718214e-05,3.9975562276020905e-05,2.5825675057178265e-05,3.9710868463913235e-05,2.840701183673024e-05,4.510322642803572e-05,2.473762391215536e-05,5.284062070646535e-05,3.3628083524365576e-05
DVEC,8.360122302413032e-05,4.072188315259061e-05,4.221772358497502e-05,5.0792639333941444e-05,4.5986998264853806e-05,6.827938376634157e-05,4.9258769527908065e-05,8.750355642472921e-05,5.634696880521281e-05,4.9700992051152356e-05,5.8863923981599066e-05,0.001796256664775221,5.174126958770033e-05,8.907880160380981e-05,0.00011712467142238604,6.284458029275314e-05,6.969108959151493e-05,5.8562137888121696e-05,5.4491481297683535e-05,6.804216637213007e-05,4.8312163273958224e-05,5.777726267921926e-05,7.939691490954692e-05,5.129331041895959e-05,7.88711969238464e-05,5.6420197070955724e-05,8.958115475966316e-05,4.913229255554262e-05,0.00010494867431834591,6.678995701723384e-05
IRAO,3.699912518343191e-05,1.8022153240903024e-05,1.8684162544238875e-05,2.247913550942883e-05,2.0352318352094968e-05,3.0218187916811758e-05,2.180029566814882e-05,3.8726168362627654e-05,2.493729729204149e-05,2.1996008672152674e-05,2.605121807314445e-05,5.174126958770033e-05,0.0001791450498169321,3.942331957007563e-05,5.183549023887347e-05,2.7812924371700593e-05,3.0842962036835015e-05,2.5917657569514427e-05,2.411612013596622e-05,3.0113203375358517e-05,2.1381359173892025e-05,2.5570297865229105e-05,3.513843802343318e-05,2.2700715905985524e-05,3.4905772700361275e-05,2.4969705690784723e-05,3.964564439532783e-05,2.1744321160072305e-05,4.644679824622817e-05,2.9559017096716427e-05
GLTR,6.369843179327251e-05,3.102729843725141e-05,3.2167026856396134e-05,3.870052799681534e-05,3.503895716340932e-05,5.202423496210844e-05,3.7531823787892756e-05,6.66717437731811e-05,4.293254834514234e-05,3.786876719871098e-05,4.485029657692943e-05,8.907880160380981e-05,3.942331957007563e-05,0.0005897528322642804,8.924101375592193e-05,4.7883285274419175e-05,5.3099858547077e-05,4.4620356150268704e-05,4.1518793376420073e-05,5.184349148182469e-05,3.6810574364485336e-05,4.4022334755939683e-05,6.049503567073739e-05,3.9082005226528685e-05,6.0094474410467586e-05,4.298834329074281e-05,6.825473204828575e-05,3.743545695848268e-05,7.996373415412805e-05,5.088939333231876e-05
IRKT,8.375346052690078e-05,4.079603754381849e-05,4.2294601895826696e-05,5.088513253310299e-05,4.6070740410273495e-05,6.840372025926934e-05,4.934846955610394e-05,8.766290006148188e-05,5.644957641679183e-05,4.9791497364847324e-05,5.897111495878899e-05,0.00011712467142238604,5.183549023887347e-05,8.924101375592193e-05,0.002070960900398492,6.29590200296415e-05,6.981799679527321e-05,5.866877931400626e-05,5.459071007371028e-05,6.816607089310334e-05,4.840013953583831e-05,5.788247485039358e-05,7.954149638355263e-05,5.138671533822445e-05,7.90148210674398e-05,5.652293803092255e-05,8.974428169492303e-05,4.922176226966253e-05,0.00010513978544709918,6.691158126983019e-05
MRKC,4.493887590853674e-05,2.188957993148018e-05,2.2693651751703345e-05,2.730299908933421e-05,2.4719782004072637e-05,3.670279743756059e-05,2.6478485016695714e-05,4.703653034587236e-05,3.0288665014251934e-05,2.6716196647903537e-05,3.164162532090109e-05,6.284458029275314e-05,2.7812924371700593e-05,4.7883285274419175e-05,6.29590200296415e-05,0.00044289919747098224,3.746164366734018e-05,3.147940367730398e-05,2.929126904521652e-05,3.657528395562576e-05,2.596964771214793e-05,3.1057503035893835e-05,4.2678898436819814e-05,2.75721290726854e-05,4.239630478008032e-05,3.0328028026277112e-05,4.8153319435601706e-05,2.6410498774858342e-05,5.6413952826937674e-05,3.5902173219016695e-05
AFKS,4.983467488357068e-05,2.4274307649427094e-05,2.516597787779278e-05,3.0277483703256714e-05,2.7412841875995496e-05,4.0701329097351233e-05,2.936314417170063e-05,5.2160855162655995e-05,3.35884185602402e-05,2.9626752942898995e-05,3.508877511453996e-05,6.969108959151493e-05,3.0842962036835015e-05,5.3099858547077e-05,6.981799679527321e-05,3.746164366734018e-05,0.0004744767310400861,3.4908880475337284e-05,3.2482362771300865e-05,4.055992384884374e-05,2.879887234406566e-05,3.444101649625964e-05,4.732848752863035e-05,3.057593365222795e-05,4.701510712640502e-05,3.363206991704551e-05,5.339931117818816e-05,2.9287751269897372e-05,6.25598869840328e-05,3.981348206450038e-05
LKOH,4.1876588804212164e-05,2.0397949867575537e-05,2.1147229512510833e-05,2.5442480321779303e-05,2.3035292391852357e-05,3.420174459604241e-05,2.4674151428697006e-05,4.383130196847599e-05,2.82246928653017e-05,2.4895664584796616e-05,2.948545787743242e-05,5.8562137888121696e-05,2.5917657569514427e-05,4.4620356150268704e-05,5.866877931400626e-05,3.147940367730398e-05,3.4908880475337284e-05,0.00017215729277606867,2.729526283337826e-05,3.408292031434817e-05,2.419998802028956e-05,2.8941139661943217e-05,3.97706138465276e-05,2.5693270877168816e-05,3.950727707802355e-05,2.8261373548459606e-05,4.4871989269751855e-05,2.4610797999484366e-05,5.2569715142899635e-05,3.345567762153922e-05
RTKM,3.896574541036963e-05,1.8980087541263244e-05,1.9677284727553266e-05,2.3673972478079992e-05,2.143410827923165e-05,3.182437993578465e-05,2.295905015765774e-05,4.078458638295001e-05,2.626279331435417e-05,2.3165165925252368e-05,2.7435922499127835e-05,5.4491481297683535e-05,2.411612013596622e-05,4.1518793376420073e-05,5.459071007371028e-05,2.929126904521652e-05,3.2482362771300865e-05,2.729526283337826e-05,0.00040298499616742356,3.1713815134751906e-05,2.2517845867086215e-05,2.6929439864972936e-05,3.700615685779161e-05,2.3907330571747113e-05,3.676112463879468e-05,2.6296924321731392e-05,4.175293546751635e-05,2.29001004278907e-05,4.891559210161453e-05,3.113017210707412e-05
MAGN,4.8655563564926294e-05,2.3699966370617396e-05,2.457053927144517e-05,2.956110451912461e-05,2.6764241434481406e-05,3.973831693895591e-05,2.8668398681241873e-05,5.092670534917473e-05,3.279370113522895e-05,2.8925770347722693e-05,3.425855856368289e-05,6.804216637213007e-05,3.0113203375358517e-05,5.184349148182469e-05,6.816607089310334e-05,3.657528395562576e-05,4.055992384884374e-05,3.408292031434817e-05,3.1713815134751906e-05,0.0002364510987236495,2.811747778446601e-05,3.3626126212110404e-05,4.620867375499369e-05,2.985249300509437e-05,4.590270807715792e-05,3.2836319680864044e-05,5.213585892601398e-05,2.8594789610156273e-05,6.107969129682655e-05,3.887147677507941e-05
GAZP,3.454704129023728e-05,1.6827751171567273e-05,1.7445886401075515e-05,2.0989350930946617e-05,1.9003486676402026e-05,2.8215504569435668e-05,2.035550059232671e-05,3.615962622909458e-05,2.3284600242409544e-05,2.0538242892228038e-05,2.4324696921129123e-05,4.8312163273958224e-05,2.1381359173892025e-05,3.6810574364485336e-05,4.840013953583831e-05,2.596964771214793e-05,2.879887234406566e-05,2.419998802028956e-05,2.2517845867086215e-05,2.811747778446601e-05,0.00023730430522719565,2.387564926938624e-05,3.280966950574235e-05,2.1196246285120534e-05,3.259242386863278e-05,2.331486080354395e-05,3.701816481100951e-05,2.030323574465442e-05,4.3368578280069706e-05,2.7600019705232705e-05
NVTK,4.1315340571631945e-05,2.0124567683440107e-05,2.0863805157118468e-05,2.5101489149365106e-05,2.272656339765608e-05,3.374335795916911e-05,2.4343457733837603e-05,4.324385582102325e-05,2.7846413271903282e-05,2.4562002074403183e-05,2.9090280963718214e-05,5.777726267921926e-05,2.5570297865229105e-05,4.4022334755939683e-05,5.788247485039358e-05,3.1057503035893835e-05,3.444101649625964e-05,2.8941139661943217e-05,2.6929439864972936e-05,3.3626126212110404e-05,2.387564926938624e-05,0.00026027060280124203,3.923759080507708e-05,2.5348918500798435e-05,3.897778339032693e-05,2.788260234461296e-05,4.4270595379056686e-05,2.428095339480133e-05,5.1865152986484686e-05,3.3007290098318276e-05
SNGS,5.677511234890404e-05,2.7654972109438533e-05,2.8670824575856937e-05,3.449420595018726e-05,3.123060762307659e-05,4.6369772405471387e-05,3.345252704387508e-05,5.942525799543286e-05,3.8266252199597275e-05,3.375284840918768e-05,3.9975562276020905e-05,7.939691490954692e-05,3.513843802343318e-05,6.049503567073739e-05,7.954149638355263e-05,4.2678898436819814e-05,4.732848752863035e-05,3.97706138465276e-05,3.700615685779161e-05,4.620867375499369e-05,3.280966950574235e-05,3.923759080507708e-05,0.00038334000774334034,3.483422079773977e-05,5.356286552352738e-05,3.831598284783754e-05,6.083619284321281e-05,3.336663422968114e-05,7.12725551105012e-05,4.5358275588114464e-05
TRNFP,3.667879873042109e-05,1.7866123270068443e-05,1.852240111108062e-05,2.2284518428382026e-05,2.0176114565763477e-05,2.9956568624360453e-05,2.1611555762776888e-05,3.839088972863834e-05,2.4721398241736025e-05,2.180557434692433e-05,2.5825675057178265e-05,5.129331041895959e-05,2.2700715905985524e-05,3.9082005226528685e-05,5.138671533822445e-05,2.75721290726854e-05,3.057593365222795e-05,2.5693270877168816e-05,2.3907330571747113e-05,2.985249300509437e-05,2.1196246285120534e-05,2.5348918500798435e-05,3.483422079773977e-05,0.0002211975220134033,3.460356981574508e-05,2.4753526059050215e-05,3.930240523538762e-05,2.1556065863878084e-05,4.604467689708379e-05,2.9303104691919427e-05
AFLT,5.639918215393372e-05,2.7471857737191926e-05,2.848098384764269e-05,3.426580633930651e-05,3.102381757146674e-05,4.606274003054638e-05,3.323102479590821e-05,5.903178015100167e-05,3.801287639715456e-05,3.352935761615688e-05,3.9710868463913235e-05,7.88711969238464e-05,3.4905772700361275e-05,6.0094474410467586e-05,7.90148210674398e-05,4.239630478008032e-05,4.701510712640502e-05,3.950727707802355e-05,3.676112463879468e-05,4.590270807715792e-05,3.259242386863278e-05,3.897778339032693e-05,5.356286552352738e-05,3.460356981574508e-05,0.00040642133132322186,3.806227775934827e-05,6.0433372648049566e-05,3.31457007115864e-05,7.08006316843692e-05,4.505794072870336e-05
VTBR,4.034493067016698e-05,1.9651884184465853e-05,2.0373758534566718e-05,2.4511908299370023e-05,2.219276452677131e-05,3.295079790231852e-05,2.3771681437334555e-05,4.222814917826939e-05,2.7192359964210244e-05,2.3985092633913915e-05,2.840701183673024e-05,5.6420197070955724e-05,2.4969705690784723e-05,4.298834329074281e-05,5.652293803092255e-05,3.0328028026277112e-05,3.363206991704551e-05,2.8261373548459606e-05,2.6296924321731392e-05,3.2836319680864044e-05,2.331486080354395e-05,2.788260234461296e-05,3.831598284783754e-05,2.4753526059050215e-05,3.806227775934827e-05,0.0002880278332062255,4.323077279729432e-05,2.3710645192924784e-05,5.0646950321258734e-05,3.22320187175487e-05
CHMF,6.405765427559303e-05,3.120227453714194e-05,3.2348430368396664e-05,3.891877669372595e-05,3.523655670888969e-05,5.231762169546738e-05,3.77434816659212e-05,6.70477340232483e-05,4.317466320032339e-05,3.808232524358856e-05,4.510322642803572e-05,8.958115475966316e-05,3.964564439532783e-05,6.825473204828575e-05,8.974428169492303e-05,4.8153319435601706e-05,5.339931117818816e-05,4.4871989269751855e-05,4.175293546751635e-05,5.213585892601398e-05,3.701816481100951e-05,4.4270595379056686e-05,6.083619284321281e-05,3.930240523538762e-05,6.0433372648049566e-05,4.323077279729432e-05,0.0003868976708874533,3.7646571383074364e-05,8.0414683577368e-05,5.11763802122462e-05
PIKK,3.513349899020745e-05,1.711341280507267e-05,1.7742041267906522e-05,2.1345658331265387e-05,1.932608278511151e-05,2.8694480461300685e-05,2.070104798548338e-05,3.6773458570102845e-05,2.3679870939780295e-05,2.0886892450574107e-05,2.473762391215536e-05,4.913229255554262e-05,2.1744321160072305e-05,3.743545695848268e-05,4.922176226966253e-05,2.6410498774858342e-05,2.9287751269897372e-05,2.4610797999484366e-05,2.29001004278907e-05,2.8594789610156273e-05,2.030323574465442e-05,2.428095339480133e-05,3.336663422968114e-05,2.1556065863878084e-05,3.31457007115864e-05,2.3710645192924784e-05,3.7646571383074364e-05,0.00034488258790352986,4.410478710488427e-05,2.8068547355385947e-05
NMTP,7.504665366508044e-05,3.6554980310039934e-05,3.7897757542317694e-05,4.5595237425287634e-05,4.128133784457922e-05,6.129263521059661e-05,4.421832220877836e-05,7.854967733634768e-05,5.0581215202812956e-05,4.461529391976916e-05,5.284062070646535e-05,0.00010494867431834591,4.644679824622817e-05,7.996373415412805e-05,0.00010513978544709918,5.6413952826937674e-05,6.25598869840328e-05,5.2569715142899635e-05,4.891559210161453e-05,6.107969129682655e-05,4.3368578280069706e-05,5.1865152986484686e-05,7.12725551105012e-05,4.604467689708379e-05,7.08006316843692e-05,5.0646950321258734e-05,8.0414683577368e-05,4.410478710488427e-05,0.0007328498364177432,5.9955615375760804e-05
MGNT,4.776013422879181e-05,2.3263805660540876e-05,2.4118357032533517e-05,2.901707875402089e-05,2.627168754785668e-05,3.900699554118258e-05,2.8140801766966524e-05,4.998947921055489e-05,3.219018449940319e-05,2.839343691158691e-05,3.3628083524365576e-05,6.678995701723384e-05,2.9559017096716427e-05,5.088939333231876e-05,6.691158126983019e-05,3.5902173219016695e-05,3.981348206450038e-05,3.345567762153922e-05,3.113017210707412e-05,3.887147677507941e-05,2.7600019705232705e-05,3.3007290098318276e-05,4.5358275588114464e-05,2.9303104691919427e-05,4.505794072870336e-05,3.22320187175487e-05,5.11763802122462e-05,2.8068547355385947e-05,5.9955615375760804e-05,0.0003047495294091157
